# {'t_start': '2024-05-04_19-03-12', 'model': '3D'} 
return,length,time
5.559116,13,11.063116
6.02369,15,18.841829
6.711278,16,27.107714
4.039797,10,32.460199
9.732889,23,44.744265
6.284385,15,56.053457
4.389352,11,61.52301
9.430784,20,72.122362
20.732086,45,97.17296
10.30701,26,111.744851
7.089869,17,122.305669
4.450791,11,129.419071
4.679202,12,136.245746
6.037941,15,144.471279
11.949346,27,160.360086
5.007889,13,168.674433
8.880295,22,181.49918
9.171347,22,193.946286
6.626791,17,204.052911
7.932155,20,217.401809
10.753619,25,231.898447
7.045884,18,243.553461
5.939252,15,251.913042
11.329355,28,267.034106
12.291379,30,283.612689
11.531045,29,300.511204
8.052616,21,313.098757
10.58061,26,328.980429
10.302837,25,343.550852
7.871398,19,355.021576
12.064557,30,372.287843
12.36601,32,393.286386
6.815388,17,403.501823
9.426283,24,418.11136
5.241023,14,426.263055
11.210621,27,441.607059
7.482197,17,451.117377
14.73334,38,473.475041
3.591915,10,478.931851
10.489805,26,493.621561
13.141727,33,513.483727
13.892675,36,534.927824
8.44994,21,547.257238
8.375461,21,560.280366
5.92329,15,568.869674
4.255087,12,575.618814
12.000556,30,592.91533
12.875326,32,610.769731
14.345712,36,632.465289
18.074238,47,659.686333
6.6492,16,669.608902
5.301082,15,677.792473
6.411195,15,686.758432
5.310021,13,695.12407
10.268296,23,708.112492
3.51815,9,712.985044
8.480448,22,725.798357
5.696171,14,733.614022
3.341115,9,738.581134
7.289439,17,748.387301
12.48287,34,769.783062
5.641698,14,777.362193
7.951397,21,789.943983
7.278086,20,801.444113
9.400016,23,814.989353
6.585966,17,824.088179
4.168595,11,830.929158
4.887251,12,837.810149
3.881133,14,845.232816
5.096278,12,852.172798
7.69192,18,863.507784
11.48001,30,881.171575
11.837152,30,898.626565
12.020052,29,915.671303
4.375246,12,922.873795
10.811851,27,938.342433
19.226757,42,962.286367
6.283684,15,971.155189
6.505145,16,981.542866
9.999446,26,997.272191
13.166408,33,1017.199628
10.53557,23,1030.500669
14.174875,36,1050.818156
15.771295,39,1073.128633
14.097865,35,1093.438484
19.636025,49,1121.559069
11.926205,30,1139.072644
4.148569,10,1144.93925
12.212794,31,1163.915462
6.404153,17,1175.546535
6.944494,17,1185.871211
12.052551,30,1205.064782
