# {'t_start': '2024-05-04_19-03-11', 'model': '3D'} 
return,length,time
3.943191,10,9.716376
4.075032,10,14.819092
10.547128,26,28.303056
12.209449,28,43.19344
10.200843,23,60.262913
13.266809,29,75.563423
10.70875,27,90.87426
4.341371,11,96.714637
10.07516,25,110.668913
4.465107,11,117.938042
8.947481,21,130.699317
7.483622,18,140.512859
6.60022,17,149.922312
4.387886,12,157.057471
15.217541,38,180.644529
9.619014,24,193.842336
3.94638,10,200.092134
12.631405,32,220.470812
5.751598,14,228.554392
5.094594,13,237.851611
10.057874,26,251.712155
15.866243,40,273.344835
10.698713,27,288.588308
9.230587,20,300.796791
18.572224,45,327.725125
9.305803,23,341.127218
7.486855,19,352.456225
5.450061,15,360.865266
7.370989,18,371.887205
8.65694,21,386.041757
6.945502,17,396.455608
5.5528,13,404.404664
15.334666,35,425.423235
9.167224,22,437.795022
9.409234,24,451.123599
5.604718,14,458.753346
5.107227,15,468.174159
8.591764,20,479.604417
7.893157,20,490.765348
10.462564,27,506.963563
11.851182,27,523.827214
8.917111,23,536.918983
8.273205,21,548.995816
12.413113,32,568.263376
5.754414,14,576.473438
10.807788,23,589.942158
6.888862,18,599.5284
6.131532,16,608.768821
10.001372,22,622.253342
5.759468,16,631.532265
6.940378,16,641.224115
4.189103,11,647.408597
7.710067,18,657.725771
7.654827,19,669.144219
9.92289,24,682.755802
14.832757,35,704.157524
9.52317,21,715.088275
8.899164,24,729.299773
5.093127,13,736.639051
13.121569,33,755.472973
7.917708,19,768.292476
9.139964,23,780.825867
8.944357,24,795.376331
5.888015,16,804.544124
18.723453,39,826.54665
9.108721,23,840.146497
6.423477,17,849.480308
3.656383,10,855.344827
9.276476,23,869.54943
9.723879,24,883.829881
12.486847,28,899.664798
7.802172,17,909.753507
5.768715,14,917.978475
16.237788,39,940.973247
12.448431,30,958.216338
9.371424,21,969.773826
7.266084,18,981.561963
6.150103,16,991.288933
10.785333,28,1008.187037
6.406811,18,1019.024972
5.915892,16,1028.273423
5.667802,15,1036.732362
7.853824,20,1048.155111
7.723253,19,1059.119968
7.574326,19,1069.646486
4.19752,11,1076.146432
17.723638,44,1101.241952
10.008142,25,1115.970327
9.275094,24,1129.447149
8.841051,19,1141.113436
7.523944,19,1152.530154
7.78439,19,1164.0072
10.569525,26,1181.182746
10.129049,26,1197.641258
4.01153,10,1203.971842
14.353579,35,1225.503811
9.213292,22,1239.20852
7.12833,18,1252.749628
5.954437,15,1262.071343
16.940871,40,1290.912652
5.658374,13,1298.233263
10.226423,27,1316.495817
4.940471,13,1323.992069
10.643325,26,1340.243803
8.574913,20,1352.827087
4.368568,11,1359.737262
9.596107,24,1374.27327
7.783445,20,1386.659261
8.031273,20,1398.166671
8.459337,21,1411.534498
11.108928,28,1428.34642
11.181508,27,1445.585584
9.056192,23,1460.24782
13.95917,36,1482.741013
6.546783,19,1495.085077
11.410602,27,1512.237876
8.265706,21,1526.03041
4.588021,12,1533.707069
8.700936,23,1548.931442
4.254593,11,1555.090992
5.210059,13,1563.416524
13.309428,30,1582.663058
6.825421,17,1592.959007
26.64752,67,1634.412996
8.722997,24,1647.86761
8.864676,21,1660.341883
7.723121,20,1673.282841
13.192653,30,1691.205221
4.819576,13,1698.530474
5.467659,13,1705.884368
2.818521,8,1710.384234
14.043658,33,1729.695454
6.38503,15,1738.468159
7.481448,18,1751.130782
9.719387,25,1766.294484
9.532312,25,1781.157924
12.258113,27,1796.545476
13.275129,30,1813.778633
9.774758,22,1826.816881
12.607867,32,1846.649159
11.966097,31,1864.415476
4.639924,11,1871.057557
4.62842,13,1878.002336
5.958081,14,1886.997912
12.440811,31,1905.6068
12.614733,32,1923.520596
11.497004,28,1940.736139
7.794497,19,1951.495816
7.878025,19,1962.683919
5.521688,14,1971.628822
9.845351,24,1986.791278
5.986213,14,1994.918472
5.998353,15,2003.25654
4.681082,12,2010.501304
5.672547,13,2019.767772
4.958523,13,2028.17887
4.569086,14,2037.065469
8.331405,21,2049.379156
8.254061,21,2062.93481
7.9,20,2075.607323
6.040985,15,2084.380183
10.50359,28,2101.333981
6.49511,17,2111.526294
10.970412,26,2127.615982
13.290371,34,2148.45067
4.292879,12,2155.35298
7.665774,21,2168.64823
11.749234,27,2185.436273
7.846287,20,2197.41456
8.735254,23,2211.321607
5.436477,13,2219.687788
6.987868,18,2232.132725
8.234212,21,2246.089759
10.749249,26,2264.084219
8.047113,24,2278.338794
