# {'t_start': '2024-05-04_19-03-11', 'model': '3D'} 
return,length,time
6.73063,18,14.049467
10.005638,24,26.604127
9.811825,23,38.686004
6.93788,16,47.680289
7.103636,15,56.424997
13.814811,33,73.504232
9.861701,22,86.152748
4.67736,12,92.799012
13.055297,32,110.550967
7.182466,18,121.423043
5.812298,13,129.795545
6.727035,16,138.708576
4.685702,11,144.94985
5.22616,14,152.486187
6.998054,17,163.406428
8.689295,21,176.238732
5.963366,15,184.984815
4.781896,13,192.003195
9.971082,24,206.484734
10.352623,26,223.228767
11.514761,29,241.395324
3.08731,8,245.686233
22.59413,57,276.518795
7.421039,18,286.855843
10.297266,26,301.813644
10.319261,22,315.170377
4.390487,12,322.779155
8.680861,22,335.158885
8.956441,22,349.036021
5.87199,15,357.35473
11.74695,30,374.639001
9.144431,21,389.273639
10.619493,23,403.301197
6.678467,17,413.749697
10.737959,27,429.062134
5.349604,16,438.56646
4.248044,11,444.574694
4.403375,13,451.973047
10.145167,25,466.615401
7.261653,19,477.738562
10.946998,27,492.669784
15.332045,37,515.332786
12.020551,29,532.759209
12.260749,31,550.657019
8.726411,22,563.796587
4.775741,12,570.989931
9.479532,23,584.187861
4.160395,11,590.89772
5.891523,15,598.741777
3.459896,9,603.752174
6.474553,16,612.671382
10.966572,30,631.198344
4.443324,12,638.612503
9.433576,23,651.98778
5.190495,14,659.388753
6.851787,17,670.046917
8.228947,18,680.260247
7.428843,18,690.840232
11.872283,30,708.499427
7.417069,18,718.577869
3.912554,11,725.296881
3.962133,10,730.528382
4.822127,12,737.547428
6.003705,14,744.947086
9.591821,24,759.564289
12.398593,28,776.773678
5.954445,16,786.251282
7.439538,19,797.494584
6.544725,16,806.875863
9.698958,21,818.821887
9.102334,24,832.464205
10.729524,25,846.279627
4.184876,10,851.876333
20.578057,52,883.340889
6.779894,17,893.268284
9.415353,23,906.554445
13.685756,37,928.538526
7.976875,22,941.06688
10.351943,25,956.039562
12.10007,25,969.44137
17.588997,45,997.600394
4.299958,11,1004.30023
4.983343,15,1013.281186
3.450592,11,1019.697131
8.735748,22,1032.533782
4.240886,12,1039.27896
3.493827,11,1045.444916
9.371209,23,1058.621879
15.335064,38,1080.728054
10.551164,26,1095.125861
21.661324,55,1127.189036
13.227607,33,1146.606422
5.596303,14,1155.377819
8.952599,22,1169.315187
3.194498,8,1174.568274
13.144704,33,1195.990284
3.995348,10,1201.697647
3.511148,9,1206.92382
9.8721,24,1221.891989
11.309083,28,1239.664875
11.391936,29,1259.549859
12.780656,29,1279.039851
7.152913,18,1292.658771
14.470641,35,1315.569174
11.570981,29,1333.56475
14.800471,38,1357.219836
7.623098,19,1368.61515
4.267212,11,1374.904766
8.705993,26,1390.800209
8.11483,20,1402.944947
8.324236,21,1416.289938
8.801591,23,1429.902257
16.691168,43,1457.258325
8.767014,22,1471.554324
10.156872,27,1488.524903
12.6309,32,1508.652282
6.411163,16,1519.011423
18.367253,46,1549.258633
