# {'t_start': '2024-05-04_19-03-11', 'model': '3D'} 
return,length,time
5.269528,12,10.820791
9.575462,24,23.177725
3.302138,8,27.355674
8.84098,21,38.486879
7.185261,18,48.461337
8.562849,20,58.719784
5.797731,14,65.831875
3.724991,9,70.801843
4.836247,12,77.285894
6.322949,16,86.576943
12.77038,33,104.828685
9.519642,22,118.065138
11.053005,27,133.857118
5.963888,14,141.891368
14.522467,34,161.868749
4.571632,12,169.396832
3.835153,10,175.455371
6.362198,16,184.684066
9.634812,24,197.994071
4.819214,12,205.463992
8.604682,22,220.054382
12.419993,31,239.741024
6.267552,16,248.255355
4.326118,12,254.485272
6.114211,16,263.484661
10.548449,24,276.465978
8.091777,20,287.636065
5.543088,13,295.688971
4.046883,10,301.094057
7.833095,20,313.306965
7.772125,19,325.127393
7.29961,18,335.144078
3.116359,8,339.741519
5.502204,13,347.949985
4.426163,11,354.75977
7.558572,19,365.4535
9.439073,23,378.508951
5.843742,15,389.872975
4.401375,11,396.547607
8.319836,20,408.71391
13.683241,33,427.95264
4.80906,12,434.86732
7.130724,18,444.96145
7.365469,18,455.077752
5.370464,14,463.362207
12.441791,33,482.397041
6.225798,16,491.643392
5.260603,14,499.533886
11.674904,29,517.119789
11.329066,28,534.09954
11.298009,28,550.408785
10.225821,26,566.009715
7.531133,18,576.579792
11.331184,28,592.606217
7.582111,19,602.889849
11.318694,27,618.989131
7.82426,23,632.955644
10.241432,21,644.927547
14.741422,37,666.63788
3.781313,9,671.860062
6.661629,17,681.773889
6.179562,16,691.290706
4.09919,11,698.044342
4.886695,13,705.765364
11.764748,27,720.898888
12.448577,34,739.715093
16.25341,39,763.502505
5.352759,13,771.748387
6.585954,15,779.958118
8.294361,24,794.21435
15.486965,37,815.675911
5.323326,15,823.706113
8.309226,21,836.181694
9.360251,23,848.895876
8.874615,21,862.029563
5.351997,14,870.448335
5.251067,12,877.648851
8.132192,19,888.587383
6.558813,16,897.856563
8.990586,22,910.571635
9.526865,25,925.635072
11.027353,28,941.431798
14.186085,36,961.717185
7.462558,19,973.078522
15.000055,43,999.650475
6.186581,16,1009.409984
8.690853,22,1022.385296
6.983174,17,1032.47788
10.600967,26,1047.111641
11.174848,26,1061.981686
7.066471,23,1075.279189
5.134297,12,1081.885542
8.385491,21,1094.118631
4.416805,12,1100.840975
8.895019,22,1113.927583
9.504217,24,1127.491041
12.140511,29,1144.679048
15.235605,36,1167.011811
10.32725,25,1182.867449
9.754278,24,1198.521365
5.155994,15,1207.297331
8.783484,22,1221.089629
8.441845,21,1234.450919
5.283902,15,1243.408248
13.36354,33,1266.844466
18.612937,46,1298.389946
14.924241,39,1323.693165
7.712602,18,1335.175256
11.198805,28,1352.358031
4.777656,11,1359.238315
6.527476,17,1369.459715
11.194427,29,1387.33072
4.397155,11,1393.073627
9.962163,24,1408.48469
14.877173,36,1430.654852
11.373797,26,1446.732356
9.02921,24,1462.139743
9.327125,25,1478.108569
12.826793,30,1496.821002
7.989953,19,1509.136756
11.25448,28,1527.303107
4.554378,11,1534.469581
8.637019,23,1549.536296
9.92496,23,1563.39462
13.740958,34,1584.938954
11.608011,29,1603.179253
5.744735,14,1612.052675
7.559811,20,1623.958217
5.368856,13,1631.956859
9.112633,22,1644.56965
7.163732,19,1656.049274
14.313167,37,1678.204009
7.44529,18,1689.757646
6.306812,14,1697.396567
12.574383,32,1715.501848
10.81183,25,1730.590741
4.804865,12,1737.495594
9.178028,24,1753.546916
3.717894,9,1759.550544
11.913501,30,1777.11259
6.462519,15,1785.319239
8.920999,26,1800.01388
7.252855,18,1810.572377
5.431391,14,1818.63169
7.645059,21,1831.223778
4.678526,12,1838.432553
6.629688,16,1849.159906
10.530768,26,1863.940069
7.485149,19,1874.954314
9.094741,22,1888.386382
12.225972,29,1905.779848
10.930355,25,1919.856758
4.386395,11,1926.009917
16.363275,41,1950.647043
5.838335,13,1957.956811
8.198883,21,1971.056061
9.820357,23,1985.795011
14.866506,35,2005.54353
9.868482,25,2022.00968
12.026012,29,2040.795759
8.908769,22,2054.248294
8.214803,20,2066.759205
8.489419,21,2079.992929
7.763481,19,2090.558877
5.954819,17,2101.512484
7.315112,19,2112.700035
8.971485,23,2127.145108
10.010755,25,2142.527694
8.187836,21,2154.944804
10.738738,27,2171.981416
4.860388,12,2179.499084
11.886326,30,2197.495513
8.672393,24,2212.14436
7.390238,18,2224.255398
12.785488,33,2245.915133
6.008172,14,2255.739624
5.443255,15,2265.710936
6.930941,18,2276.723364
5.104842,14,2284.862984
4.908971,11,2291.485264
4.940691,12,2298.986295
9.072897,20,2310.526375
8.8,22,2323.311184
9.033198,23,2337.102083
7.515474,18,2348.688517
3.777512,10,2355.169782
9.412894,24,2370.499817
4.413393,11,2377.91205
8.29768,22,2391.720687
4.633449,14,2400.884803
8.216779,20,2413.677281
9.84597,22,2426.834304
9.40279,24,2441.352343
10.26704,30,2460.184947
12.251492,31,2479.30764
8.995322,23,2493.151791
15.309653,36,2515.734771
7.110171,20,2527.83202
7.244703,19,2539.112431
3.280229,9,2544.710644
3.956381,11,2551.980134
4.74684,13,2559.968733
10.220967,24,2575.372978
8.987041,23,2589.041196
4.020691,13,2596.274476
6.003674,16,2605.374746
16.47726,42,2630.083941
4.802868,12,2637.203715
12.610986,34,2657.57955
8.132931,20,2669.816771
9.114197,24,2685.358331
9.44502,23,2699.469451
12.388759,30,2718.039163
10.574101,25,2732.919843
3.636861,12,2739.581416
5.182378,16,2749.326678
11.695057,28,2766.985684
13.472554,30,2785.803782
10.983738,26,2800.946752
3.240586,9,2806.863279
4.013266,12,2813.7692
14.341516,36,2835.296951
8.851851,20,2847.357357
9.870771,24,2862.163618
9.217518,22,2875.459706
12.080309,31,2893.138183
15.697307,34,2914.404262
9.982917,25,2931.191023
12.220491,31,2950.734981
5.135286,13,2958.398425
14.519915,37,2981.613114
10.544156,27,2998.72121
7.597348,20,3010.217751
9.098042,23,3024.674804
9.915194,26,3040.525521
12.166642,33,3061.914331
8.158185,18,3072.371102
5.838157,17,3082.979599
4.129324,15,3090.99209
3.914159,10,3097.274713
5.183666,13,3105.667496
12.495376,27,3121.504796
7.989965,19,3132.151127
10.843714,27,3148.898367
10.068876,26,3165.572166
7.849173,16,3174.343791
6.071223,13,3182.09192
4.582073,13,3189.309728
4.390392,12,3195.787291
6.374039,16,3204.681714
7.627514,19,3216.151272
7.723978,17,3228.484371
11.113079,29,3245.412893
10.14425,23,3258.757043
8.831927,19,3269.038909
7.503611,19,3281.140529
8.465269,22,3294.69283
12.010922,31,3313.070275
5.520168,13,3320.823736
8.275057,20,3332.200579
4.395387,14,3341.10768
13.930128,30,3358.961753
8.565165,19,3370.006836
3.840289,11,3376.53291
4.216615,14,3384.389986
8.295346,21,3397.751113
3.140173,9,3402.574077
10.181636,24,3416.253937
18.837457,47,3443.080523
5.382387,16,3452.51916
15.005641,36,3475.206685
10.830899,27,3491.275504
8.666783,21,3504.205513
14.281273,37,3525.927796
9.103127,26,3541.552417
5.960515,13,3549.930166
8.602772,24,3564.735649
4.470847,14,3572.617551
8.445771,23,3586.325495
15.270335,46,3614.404285
7.840172,24,3629.539265
8.444506,23,3644.400632
5.196326,14,3653.719359
7.167649,20,3666.199497
12.499246,32,3686.100478
7.433864,18,3697.464276
16.887639,40,3724.761334
3.492963,11,3731.877248
11.283978,29,3750.187207
8.800973,23,3764.666064
7.704201,21,3777.364904
9.273111,21,3790.618423
6.760455,19,3802.646459
9.301398,24,3817.797651
5.565603,17,3828.661001
9.149341,22,3841.950618
7.700647,20,3853.927554
12.911594,32,3873.467849
9.045381,25,3889.315162
7.883642,21,3903.260323
8.682511,28,3921.345214
11.031476,29,3939.380293
8.368152,22,3954.239823
5.612866,14,3962.371343
5.093732,13,3970.638698
13.06725,33,3991.360108
8.907623,23,4006.198671
12.772895,30,4024.757025
11.746866,30,4043.990816
6.754549,18,4055.304158
8.925452,25,4071.635651
9.423428,21,4085.214165
8.538374,26,4101.163262
9.58631,26,4118.266017
8.73411,23,4132.350241
6.36557,16,4142.617989
10.455507,29,4162.073673
9.380284,24,4176.77316
5.532576,15,4188.617714
8.072614,22,4203.430477
11.194463,29,4221.04996
10.537674,23,4235.895381
9.18197,23,4249.79271
7.487539,22,4263.79629
10.67939,26,4279.906125
7.880928,17,4289.355307
11.031009,26,4305.116522
6.057025,15,4314.088313
6.861585,19,4326.190109
7.839029,20,4338.992614
4.688858,12,4345.817111
5.796352,16,4355.297512
9.603379,24,4370.619357
9.154902,22,4384.900492
4.917363,14,4393.795373
9.981161,26,4409.609727
8.704974,19,4421.635557
7.640119,21,4435.051685
12.005801,28,4452.378129
4.673677,13,4459.824897
8.639089,22,4473.43817
8.479536,23,4486.894559
9.052391,23,4501.133813
6.02806,16,4511.388826
6.546329,18,4522.303923
7.318009,17,4532.749156
14.627895,40,4556.589182
5.096041,12,4563.887059
5.641969,14,4572.18206
8.362712,22,4586.154918
5.033709,13,4594.047018
8.41625,21,4607.492993
9.896009,22,4620.306129
10.682168,27,4636.291443
6.999476,16,4646.254945
9.074636,24,4661.808775
8.190683,20,4675.072525
13.474427,37,4697.995627
7.970696,22,4711.502752
7.003483,16,4721.412034
7.90251,16,4730.962906
7.292471,19,4741.972446
9.928409,25,4757.487033
11.025918,30,4775.628893
9.529863,26,4791.752498
14.581234,40,4817.11815
17.883347,47,4846.992227
7.473108,18,4858.02091
5.999334,19,4868.78135
8.659707,24,4883.598567
5.523041,15,4892.945002
13.165996,34,4914.246545
12.693878,34,4935.134501
10.249557,26,4950.802867
6.725698,15,4960.114793
5.76877,15,4969.036462
3.358454,12,4976.849236
6.405493,17,4987.075114
16.963477,42,5013.662063
15.716731,39,5037.378615
8.777634,22,5050.672147
12.464802,32,5069.635991
6.952552,18,5080.771834
4.765351,16,5090.94944
8.838177,24,5107.145852
10.00809,26,5122.778404
9.945924,25,5138.126073
9.312395,23,5152.30945
9.025957,26,5167.662021
12.952834,28,5184.389762
6.688302,20,5196.529996
9.917271,26,5212.332927
7.877393,20,5224.885636
11.785854,33,5246.16498
14.069897,39,5269.242697
10.884542,25,5340.701433
7.217936,19,5352.127189
8.423312,19,5363.968333
8.487916,22,5376.698867
11.961803,30,5394.621532
9.481699,28,5413.814562
11.179186,26,5429.389553
8.320673,21,5443.455706
9.40043,23,5457.421233
9.995631,26,5473.95611
8.345164,21,5486.467648
6.991899,17,5496.883841
6.313932,17,5507.278445
8.470347,21,5520.66999
7.829829,20,5533.254262
8.509919,24,5548.353305
8.289222,21,5562.172682
9.450629,25,5576.70619
7.748971,22,5590.392897
9.681412,27,5607.436127
12.838709,35,5627.948038
16.095075,40,5652.004563
9.224606,22,5665.809993
13.106913,34,5685.696438
7.700435,20,5698.397594
7.504418,23,5711.301954
6.897278,17,5721.143296
5.115711,14,5729.144176
14.833268,41,5752.935681
8.123263,21,5766.283101
9.916942,26,5782.509864
8.294854,21,5795.125916
10.159505,25,5811.565199
4.541561,12,5818.905245
12.535223,33,5838.5671
4.780875,13,5846.441583
4.74343,13,5854.830726
17.130619,43,5882.354339
18.625081,46,5914.922535
10.214598,25,5929.76069
7.710821,20,5942.041182
12.986205,34,5964.501921
3.86769,13,5973.072529
8.098822,22,5986.428746
4.020387,12,5993.112952
15.780705,39,6016.241482
5.38244,12,6023.310971
5.978736,17,6033.683414
7.972977,22,6046.961176
7.461639,22,6061.165638
6.991905,17,6071.231086
11.840476,33,6093.298989
4.509685,12,6099.936751
8.439829,20,6111.920964
11.765238,32,6131.062988
4.914781,15,6140.317222
12.668378,35,6162.90552
8.258367,20,6175.682567
8.307835,20,6187.582251
10.681993,29,6209.11944
7.061472,17,6221.949877
9.363053,24,6235.982831
3.883266,11,6242.7076
12.539299,29,6260.930927
8.105804,20,6273.942767
4.136693,11,6280.667387
7.262127,18,6293.092115
8.382433,23,6306.472908
6.75954,17,6316.88084
8.61934,20,6329.393968
10.421979,25,6345.351032
10.694983,27,6360.865046
4.209615,11,6367.653286
6.870277,17,6378.109823
16.766186,48,6407.054586
3.778884,10,6412.617233
7.376213,22,6426.259799
4.390448,13,6433.741906
10.415452,33,6453.223202
7.731815,21,6465.531754
6.376981,18,6476.737202
6.84259,18,6486.666759
6.41287,18,6500.006962
13.804705,35,6520.74585
4.156629,13,6529.204104
7.304269,18,6539.995725
8.1,21,6551.970568
8.616898,24,6570.675833
10.434517,23,6583.709055
12.592147,36,6604.918769
8.882659,21,6617.644241
7.158754,18,6628.307791
9.47885,27,6645.280291
8.10977,20,6658.340264
7.546872,24,6673.420341
11.466713,31,6691.557552
8.709315,19,6702.616912
7.856375,24,6717.482903
7.129415,19,6729.005269
9.079294,22,6741.283267
8.934429,23,6754.533232
9.275365,23,6768.096833
6.702789,16,6777.357166
16.053384,43,6804.618431
6.448928,16,6813.899966
9.145781,22,6828.167863
5.706944,18,6839.689571
9.855093,23,6853.312479
17.327373,44,6877.674037
13.874417,38,6902.668041
5.873245,16,6911.476207
7.459525,19,6922.624772
17.507526,46,6950.877232
6.811532,17,6961.042357
9.009503,23,6975.12524
6.873418,17,6985.48651
7.781509,20,6997.765641
11.381276,29,7014.937744
8.687385,22,7028.538861
11.638826,26,7044.337574
12.806773,32,7064.056242
12.290876,30,7081.633298
14.259964,34,7103.494326
18.360134,46,7132.160417
2.778479,10,7138.616467
10.939123,28,7154.807813
10.339589,27,7172.394923
11.030356,30,7191.018603
7.409741,19,7202.818531
21.341275,54,7235.718871
10.341146,27,7252.153541
8.43855,21,7266.424429
6.214826,16,7276.129493
7.434349,18,7288.617409
7.495742,19,7300.185445
10.410366,28,7317.487903
5.004923,13,7326.007699
9.632738,25,7340.738103
4.947291,12,7347.773721
6.295538,16,7357.917322
9.075349,23,7372.746171
10.979309,25,7388.625919
9.982903,25,7403.973528
12.609076,32,7423.651021
13.763043,34,7444.866855
9.110889,25,7460.756444
8.377515,18,7473.357715
3.714562,10,7479.734489
5.047604,15,7489.023106
9.166877,22,7503.119634
6.401161,17,7513.195941
9.180031,27,7529.905199
11.968926,30,7548.559309
8.442607,22,7561.246073
5.641717,15,7570.673484
7.833479,22,7583.209347
8.336914,22,7596.880237
11.110627,28,7614.306153
7.851632,21,7628.223872
8.045684,19,7640.151392
10.045675,27,7657.064478
12.024428,30,7676.847806
17.588839,40,7701.937288
10.727877,26,7718.596779
3.875667,12,7725.944395
10.2358,26,7742.534422
8.772484,22,7756.621227
7.251384,18,7767.968851
7.215011,20,7779.942789
4.070147,11,7787.228908
8.044137,20,7800.32169
4.76616,14,7808.066087
9.86419,25,7824.730637
8.534401,22,7837.642254
6.915972,19,7849.582503
5.89804,16,7859.006819
7.055981,18,7869.756033
11.463212,28,7887.577248
4.63777,14,7895.904544
7.728642,19,7906.872677
18.701125,46,7935.290048
3.367823,10,7941.291556
10.514014,27,7959.750495
12.239,32,7978.631438
5.468397,14,7986.554581
4.551542,13,7994.271967
12.245351,31,8012.597666
8.16636,21,8025.217879
8.789809,22,8038.608181
8.475059,21,8052.294876
10.532464,24,8067.091696
12.046849,38,8109.320711
5.063595,14,8117.617852
10.48526,26,8132.872748
7.496265,19,8144.644209
9.339211,24,8159.681844
4.171138,13,8170.356696
15.175118,41,8194.720217
9.53263,24,8209.707538
9.303073,24,8225.056702
6.767157,17,8235.75149
9.93326,26,8253.776522
5.215886,16,8264.024163
4.702915,13,8272.962662
19.734979,51,8304.560715
16.785788,45,8333.28874
8.215439,21,8346.526042
12.636641,29,8364.924646
8.141705,22,8384.11774
10.225653,33,8405.487693
7.13188,18,8416.106851
6.351696,15,8425.575409
8.442846,23,8439.233585
7.417996,18,8451.1131
13.911915,33,8471.265307
5.794953,14,8480.243494
11.103077,26,8495.963429
5.467493,14,8506.519641
7.515632,18,8518.419277
6.452982,18,8529.67873
14.137107,37,8553.485059
8.077752,21,8566.190508
8.061113,22,8579.275167
12.201685,31,8597.792888
3.50487,10,8604.243759
12.024014,30,8623.400032
7.881227,23,8638.356466
8.661905,25,8653.831352
3.556931,11,8661.230414
6.248281,19,8672.777076
10.129554,26,8689.562147
3.686066,12,8696.853362
12.953804,33,8717.305957
7.639415,18,8729.300366
9.825466,25,8746.176878
11.231038,28,8763.618932
5.152303,15,8773.325979
17.640172,47,8801.092623
5.811787,15,8810.164127
8.808101,28,8827.706518
9.833184,25,8842.794874
4.241776,11,8849.568033
14.881477,41,8875.017509
5.818949,16,8887.138002
5.322826,14,8896.268409
5.810644,15,8905.16728
9.709294,26,8921.903817
6.970401,17,8932.353282
15.537683,40,8958.260969
10.542104,27,8974.462282
11.035541,30,8992.796685
6.297776,17,9003.460989
8.447878,24,9017.988796
14.010541,32,9037.327678
7.907282,24,9054.362606
8.005954,21,9072.285086
6.033112,19,9084.032059
7.743959,21,9096.797987
10.012395,27,9112.705704
15.261649,38,9134.002605
19.62061,56,9169.176104
9.505333,24,9183.948607
11.655149,30,9203.249411
9.744452,25,9218.548868
10.960112,35,9240.556673
4.304647,13,9248.918564
15.978043,37,9271.812687
5.506247,14,9280.602714
5.891512,18,9290.425896
13.469691,35,9311.33139
11.971966,31,9329.912064
5.927091,16,9338.981871
7.984506,20,9351.101335
7.459047,19,9362.255764
8.588208,25,9377.306434
6.361124,17,9386.95189
6.676836,19,9398.288105
11.634051,31,9417.093293
7.878696,19,9428.552226
13.871568,32,9448.802334
5.970166,18,9459.501161
24.487251,58,9497.4425
10.549225,27,9514.018978
7.758636,20,9526.568857
4.281305,11,9533.197107
7.365745,19,9546.434478
13.59879,36,9568.78269
17.674852,41,9594.5977
10.967018,28,9612.73989
7.309934,19,9624.069405
6.169537,17,9634.672148
9.195521,22,9648.737356
9.054123,28,9665.554546
10.607006,28,9682.882908
15.395996,38,9711.439567
17.262022,49,9742.483535
11.211502,29,9760.45302
10.356965,25,9776.087092
5.849263,14,9785.957105
6.294569,16,9794.646725
5.270898,14,9804.596995
9.268951,26,9821.148665
7.401342,20,9832.631502
10.596694,26,9854.573261
9.745768,26,9870.377212
14.012267,35,9892.429193
12.122113,31,9911.408247
8.257421,22,9929.521651
5.831239,14,9939.704384
8.749551,21,9954.160292
8.978812,23,9969.188548
14.01833,36,9990.945263
8.874368,20,10004.154037
17.047711,44,10033.495996
5.505124,14,10041.730977
10.65949,27,10058.63785
4.387545,12,10066.034946
18.927427,42,10090.924531
17.581361,47,10118.177716
9.432289,27,10134.746038
5.060924,14,10143.773435
8.115869,21,10157.477334
7.86731,20,10171.645192
10.807732,27,10188.263858
8.492243,22,10202.14552
9.081348,23,10217.447197
9.452409,25,10232.860431
10.160466,24,10248.67919
10.678455,27,10264.826259
11.946999,33,10289.7997
9.248984,26,10307.127129
7.547765,21,10319.403633
15.363499,40,10345.231327
11.694383,33,10364.49444
6.396258,16,10373.572344
7.43242,19,10385.044329
10.791701,33,10405.757674
8.864195,23,10420.399528
8.89805,25,10437.960776
8.135618,22,10451.866077
8.950024,22,10467.831751
8.300712,20,10485.228336
11.789618,27,10501.01215
4.727066,13,10508.794183
7.543394,19,10520.310748
6.803081,20,10532.742903
9.787304,26,10549.04283
12.11849,32,10567.816837
6.932076,19,10579.071892
8.160597,22,10593.127159
9.148076,25,10607.460577
10.333743,26,10623.760403
12.559674,30,10654.321806
6.033676,15,10663.386742
6.65269,18,10674.470185
10.324642,27,10691.281183
12.751242,33,10711.595823
13.475281,34,10731.961024
5.510962,14,10741.177515
8.372395,21,10754.467152
16.486383,40,10783.182868
9.896945,24,10799.565407
11.2641,28,10815.52879
6.193682,17,10825.679348
3.837276,12,10832.842099
12.086269,27,10849.15151
6.763417,19,10864.228594
8.471286,23,10878.694739
16.424266,41,10904.788133
10.396556,26,10920.091666
9.415414,27,10935.62131
11.842385,29,10953.397886
12.471396,32,10976.461353
9.211416,23,10989.891169
4.420592,12,10997.373188
18.32606,50,11028.157194
7.868913,21,11043.393053
7.712657,23,11057.791123
5.072069,16,11066.967121
4.690105,14,11075.642953
10.898768,29,11094.681195
21.879643,55,11128.024057
10.498768,30,11146.682865
17.109508,43,11173.800346
11.919088,30,11191.794009
11.764344,31,11210.191215
12.949908,38,11233.407559
4.896685,14,11248.287431
4.935639,14,11256.723552
10.380607,27,11273.495597
8.21144,20,11285.46071
9.820099,26,11302.826082
13.688617,35,11323.036947
8.451206,23,11336.326101
7.203979,19,11348.533468
9.960707,26,11367.486688
8.49449,28,11384.297548
6.214412,18,11395.814295
4.909872,13,11405.315409
9.914399,23,11421.435747
13.96433,34,11441.940734
7.694896,20,11453.891692
7.515611,18,11464.564744
12.556847,32,11484.251618
17.888718,42,11511.61225
11.445234,30,11529.248097
13.103906,35,11551.122661
6.921881,18,11561.439849
5.385184,15,11570.815163
12.10985,30,11589.268891
6.23217,16,11598.666319
12.599124,33,11618.900083
9.390053,24,11633.991647
10.070569,28,11651.447711
6.15631,15,11660.987203
12.65883,32,11680.144433
13.837123,35,11700.740008
15.779975,44,11727.09053
10.894754,28,11757.352058
8.20391,23,11772.021868
14.884078,38,11794.274528
10.339839,25,11808.872208
8.536628,26,11824.698345
7.927029,25,11842.140018
14.415927,37,11863.796148
