# {'t_start': '2024-05-04_19-03-11', 'model': '3D'} 
return,length,time
9.387482,23,16.648329
7.380485,18,25.922503
6.882167,16,34.245894
3.775948,10,39.406727
6.342517,15,47.864514
5.209326,12,54.617493
6.651743,16,62.748714
15.426017,34,81.596547
18.384992,40,103.813918
19.790939,47,131.566069
9.948566,24,145.282266
9.219793,21,157.158881
11.577572,28,174.722146
9.000224,22,187.355737
12.680041,30,204.892694
8.715189,21,218.947788
5.826718,15,227.282431
5.587883,14,237.27317
8.740121,22,249.311731
18.048278,44,273.092136
6.041735,15,281.646313
9.651688,24,295.527677
8.105357,19,306.017394
7.506144,19,318.414438
6.944814,17,328.485176
9.722695,24,342.521184
5.494191,14,350.723152
12.6681,32,369.726064
9.109156,22,384.187386
6.908484,17,394.812219
10.413057,26,410.606293
3.506147,9,415.750687
5.793636,15,424.614541
9.98541,25,438.801021
8.547374,21,450.733459
13.036277,33,470.015431
4.380275,12,476.828032
9.682034,24,490.513822
9.001186,22,503.565229
9.649622,23,517.149302
3.648404,10,523.737813
5.844232,14,532.252056
9.13346,24,545.812212
11.712405,29,562.985495
7.243522,18,573.510486
16.445605,40,596.3943
10.347816,25,610.252816
7.959787,20,622.696164
8.538167,23,636.969841
12.735669,31,654.265281
14.178696,34,674.102366
3.349495,9,679.17226
14.594893,38,702.233553
8.367659,20,713.171289
10.352891,26,728.093149
8.58881,21,739.83878
7.723108,21,752.301408
11.764713,29,770.618745
6.025761,15,778.570959
10.349717,26,794.205444
13.003638,30,812.024424
5.641156,15,819.913679
10.154986,25,834.353981
5.225568,14,842.183739
9.971745,25,856.674793
11.25208,28,873.841541
12.544801,31,892.071371
4.588225,13,899.222039
5.481278,13,906.894618
15.830405,40,930.503865
5.942661,15,938.999682
5.035314,15,947.689668
7.390156,18,958.372493
12.965341,30,975.487813
12.909566,37,998.447803
5.290936,14,1007.067984
5.219148,15,1015.995944
3.31814,8,1020.654229
4.799977,12,1027.799324
11.52284,29,1043.785001
5.419801,14,1051.933728
5.899847,15,1061.055167
5.281752,14,1068.649829
9.482481,25,1082.944692
8.664423,23,1095.739442
7.496869,19,1107.008926
14.556284,39,1129.444638
8.934452,23,1143.337094
9.40617,24,1158.296571
5.234807,13,1166.384206
7.785377,23,1181.09679
7.910492,20,1193.47656
10.739417,27,1210.766227
4.901523,13,1218.782025
8.195601,21,1232.018981
6.540219,17,1242.125514
16.112558,41,1270.662365
10.997028,27,1290.811116
11.969039,30,1310.063047
8.064894,20,1322.53464
13.827813,31,1341.396818
7.953806,19,1353.363035
7.798719,18,1364.780625
9.816202,25,1379.244292
4.578041,12,1387.254681
14.125554,36,1408.804885
5.565076,13,1417.063982
2.738784,9,1422.700538
20.485785,54,1456.132217
13.021999,35,1478.745316
15.553142,39,1503.433469
13.191235,33,1524.796697
6.391106,16,1534.983006
6.240345,14,1544.354926
13.587143,34,1566.147721
8.910927,22,1579.588332
8.485026,22,1592.91793
4.601835,12,1599.897866
8.836428,22,1614.323106
10.88208,28,1631.315577
4.909192,11,1637.844474
11.067368,29,1654.711669
3.084333,8,1659.038824
11.670408,30,1677.452024
15.331944,41,1702.533226
6.346071,14,1710.081718
9.699238,23,1722.973393
8.713974,22,1736.308634
4.007849,11,1743.485271
6.711081,16,1754.004441
4.887969,12,1761.633498
4.269017,11,1768.202131
8.65711,22,1781.0819
7.506479,20,1792.5971
5.705533,14,1800.002549
5.340767,13,1807.419004
10.212841,26,1822.876623
3.944954,10,1829.37622
15.709817,40,1853.940103
5.657048,14,1861.68402
8.155863,20,1873.127109
