# {'t_start': '2024-05-04_19-03-11', 'model': '3D'} 
return,length,time
4.718241,12,10.471075
5.996341,15,18.589653
9.100045,20,28.803591
9.97223,21,59.258282
8.655016,21,70.290806
8.244102,20,81.471499
9.913797,22,93.590947
7.135986,19,104.072723
14.394488,36,125.775756
4.582067,12,132.533188
5.22171,14,140.546436
8.241101,21,152.206969
11.22446,28,169.900452
12.572032,32,188.229743
3.366584,9,193.235948
20.868059,52,225.683623
14.299629,35,247.133456
9.816479,25,260.757442
3.6,9,265.668108
9.163912,23,278.08364
11.92389,30,295.416446
8.432004,21,306.957736
11.081794,28,324.818239
11.997324,28,341.090619
6.326177,16,350.861838
3.112254,8,355.437531
12.622678,30,372.835719
9.705997,24,389.113035
13.731928,35,410.378335
8.296321,20,422.270624
5.630568,15,430.430135
10.93023,27,445.817061
6.634796,18,456.102118
5.379271,13,463.999638
8.450895,21,476.489076
8.317135,20,487.326036
27.983972,67,527.960706
6.550895,19,538.490669
5.709351,16,547.855424
11.685865,28,564.68952
7.572257,19,575.732947
6.808756,17,585.896398
9.495318,21,597.658571
5.890984,15,605.6228
8.121899,19,616.88947
4.879226,13,625.185562
11.481808,30,642.508223
9.431064,23,655.922248
9.340265,23,669.863568
4.167259,10,675.1629
10.555747,26,690.571434
6.565138,17,701.066595
4.412321,10,706.630045
12.494798,31,724.601576
12.867191,33,742.41704
6.721681,19,753.689271
11.052097,29,772.177087
17.397393,42,796.442421
7.561148,19,807.502277
3.447778,10,813.432073
12.553786,32,831.622714
7.272994,19,842.193214
3.156675,9,846.971054
9.540332,23,861.274546
9.042541,25,876.166519
5.746413,15,885.040619
7.491606,18,895.655483
11.367602,29,911.733094
9.683286,25,927.155277
5.686254,15,935.623277
8.539039,21,947.674926
4.968514,14,956.258271
18.263629,41,980.142664
5.482888,15,989.800154
5.880017,15,998.443733
5.56065,14,1006.885794
9.50512,24,1021.128015
7.111853,18,1031.668075
6.50717,16,1040.565149
7.256414,20,1052.017446
12.593547,32,1070.406184
7.052722,16,1079.576683
8.442399,20,1090.937603
14.135437,36,1111.851169
8.228435,21,1124.055391
6.876384,17,1133.819039
7.310376,18,1144.448778
20.771412,52,1177.414747
5.112692,13,1185.330927
14.728228,37,1209.329372
7.929306,19,1220.493805
4.098077,11,1227.86506
12.964133,32,1250.005036
5.909612,16,1259.186725
6.538653,17,1270.077016
5.288285,13,1279.101769
6.023624,16,1291.794945
15.293101,39,1317.001585
13.909156,31,1336.083431
6.243361,17,1346.337514
6.253307,14,1355.335305
4.551947,11,1362.300578
5.049473,14,1370.287088
8.218652,22,1383.689448
6.245481,15,1392.511198
6.269716,17,1403.18746
6.749858,17,1414.131139
7.510334,19,1425.748001
10.369762,26,1441.859344
8.413836,22,1455.353901
7.185224,21,1469.22371
12.821521,32,1489.446436
3.497584,9,1495.126072
8.676967,22,1508.809416
4.975347,13,1517.223907
6.324202,16,1527.821817
8.479098,22,1542.457866
5.685826,13,1550.527956
5.631368,13,1558.541662
7.89552,22,1573.018952
6.852976,17,1583.059636
7.639342,20,1595.27409
13.598143,35,1617.210233
8.286939,24,1631.765045
14.566623,35,1652.427501
15.413996,38,1675.513248
13.00034,33,1694.91513
4.769498,12,1702.169603
14.708295,31,1719.23437
7.168973,16,1729.259247
4.548501,12,1736.180201
4.382348,12,1744.062949
20.609737,49,1775.151929
3.783585,10,1780.489077
5.844149,14,1788.507762
10.802844,28,1803.646069
7.674771,19,1815.407499
4.764194,12,1822.397013
11.113405,27,1838.416231
9.431196,24,1853.944823
17.972797,45,1879.423663
7.604293,18,1890.431647
12.262698,29,1907.85989
4.10632,10,1913.439944
17.902018,50,1942.876197
8.255914,17,1952.758122
14.27684,35,1974.45228
9.449104,23,1988.533277
6.475957,15,1997.072442
3.847426,12,2003.744084
4.976113,13,2011.646173
3.331977,9,2016.968133
9.423858,24,2033.795042
8.425873,21,2046.376001
13.475838,34,2067.691201
6.750322,16,2077.875731
8.611561,22,2090.632002
8.7659,25,2106.132958
5.221949,13,2113.689647
4.290528,11,2120.829289
6.572339,18,2131.979806
6.000611,14,2140.243412
8.049901,20,2152.759299
11.816026,30,2171.21068
12.182067,31,2190.269047
5.78443,17,2200.208316
6.961261,17,2210.522293
7.317461,18,2222.611262
8.46561,20,2235.900178
6.693304,17,2247.116215
7.677472,17,2259.270232
7.349731,20,2271.779441
9.769209,25,2286.42746
7.847807,19,2298.119953
4.441158,12,2305.005012
6.096673,13,2312.924086
9.075597,23,2325.882235
9.633821,25,2341.304077
9.217875,23,2356.238134
8.146816,23,2371.221006
5.190727,13,2379.669729
5.143431,13,2387.740379
8.860346,23,2403.05846
5.096246,12,2410.782119
6.11516,15,2419.347066
10.28565,26,2435.047738
4.24812,12,2442.173431
10.741584,27,2459.475287
8.735999,20,2472.048935
3.500964,10,2478.123847
9.442585,22,2491.65445
18.528127,43,2517.725317
10.386852,27,2534.567615
9.822032,22,2548.00978
7.526137,19,2559.701612
4.637083,14,2568.159762
7.773633,22,2582.553573
3.817248,10,2588.21088
3.714701,10,2594.311018
4.637164,11,2600.245077
10.361501,26,2615.964391
3.502625,10,2621.571769
8.139466,22,2633.884698
8.400659,22,2647.506817
7.023058,17,2657.522679
12.265745,31,2677.156364
7.906489,21,2690.000061
7.612251,22,2703.268976
8.06699,22,2717.324894
7.774073,18,2727.965986
3.762008,13,2735.572928
5.198848,14,2743.655038
15.839776,40,2768.765011
4.45008,11,2775.708881
4.894632,13,2783.769051
5.720806,15,2792.789968
16.107378,38,2815.553255
5.17242,13,2823.176738
7.598007,18,2833.969175
6.854418,17,2844.445687
6.365442,15,2853.43683
6.409739,18,2864.366674
7.780193,20,2876.358271
6.063241,15,2885.008568
3.123436,9,2890.088304
6.767793,17,2900.593973
5.862969,14,2909.558135
10.386386,27,2927.092386
5.880434,14,2936.359457
10.983732,25,2951.994466
10.552361,26,2967.890797
7.568733,19,2979.839126
13.835187,35,3001.462673
6.115287,14,3009.671164
12.549819,35,3030.603047
4.442184,14,3039.713906
4.591353,13,3048.184327
6.761339,15,3057.998236
11.078615,27,3073.906512
5.201171,12,3082.103204
4.218168,11,3087.982515
13.772737,33,3107.946412
9.235141,23,3121.527954
13.280554,34,3141.310579
13.833106,35,3163.428679
7.413892,19,3174.169641
12.696341,35,3194.196933
5.625268,14,3201.889542
7.693953,20,3213.848774
5.849536,15,3223.209396
5.194404,14,3232.974257
4.826142,12,3240.080373
