timestep,episodes,steps_per_second,expl_loss,avg_return,std_return,avg_aug_return,std_aug_return,avg_bonus,std_bonus,avg_episode_length,std_episode_length
1000,561,868.8752258000364,0.09285872,8.875026228427886,3.8491439378797847,-6.176570272445678,147.44667831134828,15.523843808174133,6.282102908604535,22.11,9.072921249520466
2000,1118,1082.4951744190398,0.2003205,8.85813200712204,3.7398618802702397,41.708086178302764,138.87687883628567,15.799849963188171,7.711598173487325,22.3,9.119758768739445
3000,1677,451.47661657332986,0.095864385,7.765856480598449,3.0992250243889456,79.94067284345627,124.98087165082238,14.330804619789124,8.951301654179378,19.31,7.510918718772024
4000,2248,1368.776215435113,0.10812321,7.981785178184509,3.1037902351172133,88.56955832481384,110.68739581215723,15.163415002822877,8.126365288991977,20.49,7.9517230837095925
5000,2817,1424.5316181322871,0.07248748,8.482730581760407,3.4260950727231356,99.63698295593262,111.67340977016448,15.968897423744203,7.551650278650527,21.53,8.40530189820687
6000,3394,1180.7367499775496,0.10800135,7.838903298377991,2.731142326442164,141.77927934646607,74.39223574256543,15.299272904396057,7.762025931042841,20.78,7.2932571598703415
7000,3924,977.7750632279018,0.08630571,9.210524337291718,3.364682225524606,133.40476628780365,98.05242898865822,17.528101873397826,8.4284038817789,23.13,8.401970007087623
8000,4452,1263.2722826103325,0.09766826,8.944594881534577,3.7325161169618015,131.30845425605773,111.8416798600574,17.6721542263031,9.181525412420813,23.29,9.611758423930556
9000,5001,1388.757771049711,0.08228985,8.051074175834655,3.4594030457265044,134.41197245419025,117.65155786087527,15.96248203754425,9.190782356837238,20.91,8.211083972290139
10000,5526,971.0720678191659,0.08619321,8.547053749561309,3.1848264877150796,159.5278335571289,79.90009468932021,17.195673985481264,9.557145667367196,22.51,8.541071361369134
11000,6043,1240.1826727045052,0.07607722,8.98526464700699,3.8607250922090985,157.04673469543457,86.13405509100158,17.749086537361144,10.334703580014233,23.28,10.137139636011728
12000,6544,1127.8248701508928,0.07835139,9.711871616840362,3.9895451078569537,152.12695098876952,97.98431760010087,19.039233560562135,9.46063951195563,24.74,10.24462786049352
13000,7054,1300.6626262425793,0.095609166,9.410290403366089,3.225327920663353,178.59450662612915,83.09866100755602,18.25122211456299,8.680258077120149,23.72,7.910853304163844
14000,7534,1360.5753058234177,0.13239798,8.883582990169526,3.296937869228454,158.8593255329132,95.54305826492816,18.711745557785033,8.184334389096803,23.85,8.493968448257858
15000,8037,1060.3174250058019,0.13332272,9.31801397562027,3.2300833170952634,150.85012901306152,120.94342396991655,19.3642915725708,8.751230968704661,24.83,8.13886355703301
16000,8533,1413.1780589852945,0.062572606,9.059941537380219,3.1583443176485964,155.59210387706756,99.4321942074543,18.465026783943177,8.54691114327667,23.23,7.727683999750508
17000,9013,1263.6296562085845,0.10522823,8.811715972423553,3.274449563410903,152.3626957321167,107.54262743608508,18.528661046028137,8.000465170745176,23.32,8.133732230655248
18000,9485,1158.2504450822246,0.065340765,9.890904178619385,3.6247027242138516,177.65123438835144,104.34612983898921,20.453209238052366,8.754981304928899,26.19,9.129835704983961
19000,9975,941.9145394654697,0.0627373,9.380085690021515,3.359003704572329,178.03139406204224,81.03194400472533,19.21095242500305,8.067694383392963,24.47,8.507002997530916
20000,10462,1445.760341056135,0.10619805,9.327760658264161,3.6911272611065717,160.99111640930175,125.36190451579537,19.58842111110687,8.102603756964559,24.95,9.554449225360928
21000,10947,1214.785011091278,0.10211396,9.170841014385223,3.6579051064431343,186.45861225128175,92.49705865587475,19.523742713928222,8.60377806503009,24.71,9.652248442720486
22000,11425,1169.9746133352376,0.09622265,9.386803398132324,3.7962067193371425,178.60245582580566,116.68535861454326,20.33662561416626,8.574593156359015,25.44,10.001319912891498
23000,11891,1248.868611215242,0.06470046,10.228651294708252,3.886440776514167,206.96951940894127,95.38319410573656,21.062456645965575,9.069089570397432,26.94,9.795733765267409
24000,12322,1071.9945243809962,0.08288419,10.315796988010407,3.7406630069242874,191.77450797319412,103.78012762258875,22.028184700012208,8.486715910568766,27.81,9.585087375710248
25000,12780,1120.1227185229338,0.15431736,10.660971529483795,3.831318518817943,230.42909048080443,86.4331185266784,22.352655477523804,8.550876012033056,28.13,9.795565323144958
26000,13208,1244.3085317363195,0.09371796,10.639231133461,3.766609636571242,222.79948831558227,105.27654909306965,22.672040395736694,8.491525613939228,28.34,9.775704578187703
27000,13626,984.797787112669,0.0644888,11.291313781738282,4.046725553263415,215.31334241628647,113.07754909751289,23.189437079429627,9.648491417771949,29.38,9.848634423106587
28000,14017,1055.448287663046,0.06693577,11.575015239715576,3.1759508202301094,245.4395596075058,88.3922427685297,24.874676971435548,6.882175653341792,31.34,8.302072030523465
29000,14396,1003.7190431713883,0.08537806,11.113158349990846,3.8090714643811245,247.24668270111084,117.14502153471557,25.46837971687317,9.85734375448407,31.82,11.148434867729192
30000,14769,1098.2107322549969,0.10239031,12.254413094520569,3.8173654140756734,227.23863228082658,112.05586396948233,26.021668310165406,9.322803633793988,32.81,10.24762899406492
31000,15130,1177.3309758479384,0.07377287,12.611309051513672,4.729969390673853,258.64959694862364,132.1255416164256,27.073410263061522,10.384362829445779,34.05,12.898352607988356
32000,15471,1005.7696877616005,0.11686266,13.502978615760803,4.905766805679336,254.16654516220092,123.19602075524057,29.049406127929686,11.309747285728246,36.41,13.156819524489952
33000,15802,873.448850406799,0.08529326,13.626688890457153,4.772783287143531,273.6223469543457,136.24342233709268,29.389109678268433,10.212767381067474,36.58,12.452453573493056
34000,16120,1034.376340195876,0.07935064,14.047580733299256,4.832997554233117,251.09000393867493,154.5989102718933,30.199126443862916,9.690653097023505,37.78,13.348093496825681
35000,16415,1063.7352916411785,0.09583733,15.206551666259765,5.3885976860821385,307.7629183626175,142.01107703996072,33.64043697357178,12.69064702599129,42.19,15.26872293284543
36000,16707,1541.8721765179669,0.07527221,15.298669986724853,5.568191885871302,256.0261768245697,155.51892381276713,32.52199781417847,10.257758527413891,40.89,14.277881495516061
37000,16985,1149.83602180089,0.078923225,15.123695240020751,5.237877522883791,288.6350640797615,168.6761458177601,33.841695632934574,12.117014241932619,42.49,15.217420937859345
38000,17258,1000.7191103455023,0.077597685,16.435934047698975,5.383765085116133,281.9919560432434,174.6076643848984,35.10947059631348,12.494688253706093,43.81,13.99549570397562
39000,17530,1102.6102418600324,0.062405065,16.32194115638733,5.977396049256467,329.9120028877258,167.668478166694,35.75696401596069,13.802487722127301,45.59,16.346311510551853
40000,17791,1169.1726514824616,0.06631257,17.844567432403565,6.414524849724884,375.3124224948883,189.00295221980429,37.66597088813782,12.024043563377827,47.83,16.94405795551939
41000,18035,1029.4442925451938,0.05751182,17.51458887577057,5.188423285582731,319.7938677215576,172.4005550965342,37.33823307037353,10.66494736598899,47.09,13.390365939734432
42000,18269,1024.4426912997071,0.06805417,18.988694162368773,6.086529983357803,369.85961381435396,185.57213169817985,40.40171743392944,12.187311324437983,51.63,16.9892053963686
43000,18487,1106.8315903890493,0.13068157,20.728833827972412,7.087232185287474,421.4699095726013,206.52709383908064,43.2767924118042,13.084927316571985,55.64,18.249120526754158
44000,18711,1207.3142859774593,0.088923745,17.535211877822874,5.443403575356636,374.9656298303604,173.177897952912,38.71978731155396,12.004792107460993,50.07,16.364140674047018
45000,18929,1282.469991490569,0.077207334,19.66294319629669,9.208417556754775,408.9573419725895,260.4581539951496,43.193629837036134,19.21840485599791,54.84,25.301667929209724
46000,19153,1405.6647467808455,0.081212275,18.19180058002472,6.95621106089426,375.3243482446671,222.68154803261632,39.58863395690918,13.40523964433404,50.67,19.220850657554156
47000,19375,1400.8329576006547,0.06872756,19.45078028678894,7.385623071090334,416.66375347614286,210.95942410276075,41.87517770767212,14.476195996412855,53.46,20.16354135562501
48000,19603,1164.2736572059403,0.07661789,19.22710371017456,6.636231659128915,382.6539319992065,216.8993284577833,41.39916042327881,13.283853247189297,52.05,17.962947976320592
49000,19815,1094.1106990740643,0.07045076,21.93828663825989,8.257819145455906,433.72849328041076,257.53300220072964,46.18927991867066,16.665157959143794,59.41,22.691890621982118
50000,20009,1116.7948553410824,0.07958619,20.97031467437744,8.492435583513865,477.9268029880524,244.31136268063122,46.48072994232178,18.384796971868866,59.98,25.395267275616533
51000,20202,1240.6503920750845,0.08149404,22.898665857315063,8.920289010145705,514.146578617096,261.1064484569143,50.389211330413815,18.056975321008153,64.11,25.584329188001
52000,20385,1055.1631195646623,0.08585093,23.57573532104492,11.535729580930997,555.1447508239746,350.92010928433336,52.80783493041992,24.044968945033496,67.72,33.85737142779988
53000,20568,1107.3488152041648,0.055824604,25.685425186157225,11.003723460497866,566.251661643982,308.5827394810637,54.53026617050171,24.23312236923631,69.79,30.61349212357192
54000,20744,1362.022271379342,0.07704918,24.67545581817627,11.594294781735154,581.5589957427978,323.71323282591464,54.86710830688477,22.426308603514293,69.22,32.468008870271056
55000,20922,1167.9140406284337,0.06229341,24.971035614013672,9.46102324981481,538.9121772384643,254.31064102252338,54.178480072021486,20.987291423597583,68.46,25.91579441190256
56000,21089,1119.8717981236966,0.06915061,26.933510494232177,9.353408820542588,587.9028227233887,264.01925148823295,58.31392551422119,20.205778371450634,74.41,26.537556405969255
57000,21251,1333.15025300684,0.06611168,25.379196977615358,10.115329822830265,562.4998279571533,314.07670867040326,56.44192674636841,21.36568526117547,70.82,29.021502373240434
58000,21404,1059.2340126351348,0.095792584,29.623046426773072,13.693647222376462,692.4965769028663,406.0415817880894,64.42498489379882,27.720194751427233,81.84,37.02721161524319
59000,21570,1379.8110184102927,0.09896202,26.489617977142334,9.62010916239636,587.9458864593506,287.59961286125167,56.93077917098999,19.368835155063774,72.45,28.282989587382733
