# {'t_start': '2024-05-04_19-03-11', 'model': '3D'} 
return,length,time
13.881582,33,21.635085
11.929218,30,37.361373
20.525842,40,69.066122
12.952294,31,86.361518
3.684383,10,91.877981
8.533158,21,103.661486
13.141994,33,123.022664
14.049083,33,142.353539
10.074016,25,156.727072
7.245567,18,168.19836
8.036969,20,179.975179
6.878779,18,189.926214
17.949097,46,218.846853
11.446814,29,237.140695
5.007154,12,243.830785
5.324711,13,250.752088
9.755696,25,264.414514
4.835269,12,270.918832
14.204978,36,291.340296
10.000855,22,304.115533
7.627543,19,315.385907
3.340815,9,321.337162
10.366988,25,335.418783
3.844063,11,342.366201
6.058764,14,350.753844
5.894122,14,358.789642
7.457996,19,370.294281
3.80523,10,375.528326
4.984003,13,385.365614
6.36935,16,395.287891
10.107131,25,410.550236
5.683992,14,418.972151
6.51007,16,427.809902
8.250505,21,440.219542
15.280382,37,460.96595
4.111772,11,467.498827
6.720482,17,477.504514
6.368138,16,486.172304
9.049221,23,499.532379
6.650941,18,510.36074
9.782261,23,524.881216
9.986894,24,538.516747
5.125902,13,546.536889
4.825185,12,553.356229
12.366737,30,571.161055
11.334829,26,586.522314
4.62585,12,593.066866
8.886872,24,606.101981
9.095978,20,618.236424
9.109976,23,632.115364
8.311093,19,643.09064
8.639827,23,656.624753
13.518731,31,674.757436
8.226268,20,686.477297
14.065966,34,706.772671
7.002866,16,715.124586
5.773208,15,724.659497
8.756295,22,736.902765
9.590794,24,750.54295
3.20923,8,755.079953
8.240759,21,768.792928
9.746666,24,782.48835
4.263296,11,788.985182
10.734324,31,806.996151
12.678797,32,824.555607
16.248656,42,848.868527
4.863214,13,856.697145
9.056946,26,872.592049
5.358873,13,880.117099
4.530641,11,886.867831
4.259478,12,893.642931
3.57419,11,899.749587
9.264995,23,913.454512
9.989308,25,928.310372
6.345597,18,938.484207
4.204282,11,944.934217
8.415569,21,957.220868
9.308416,21,968.780192
11.344762,28,986.43964
5.936734,16,996.218962
12.764824,34,1016.551179
15.360691,32,1034.928301
6.132475,18,1045.081364
5.691408,15,1053.695336
11.14118,25,1068.164086
15.018104,38,1089.773278
4.091781,11,1095.904376
4.849154,12,1102.792788
3.51891,9,1108.385616
7.18763,20,1120.038738
6.236186,19,1130.778275
5.812202,15,1139.979084
3.706201,10,1145.529212
4.469558,12,1153.115753
8.52651,24,1168.040884
6.738625,18,1179.717907
7.595259,19,1191.318485
7.944299,20,1204.591561
5.925431,14,1213.176115
7.680274,20,1225.51466
5.484408,13,1233.773476
10.411366,25,1251.849432
14.234448,32,1272.702827
7.618025,19,1285.059479
8.409589,20,1298.925274
13.667041,35,1321.863046
7.157005,19,1333.817533
11.518399,30,1352.368166
6.160093,14,1361.106773
5.764709,16,1370.438365
14.789068,38,1393.042371
11.487689,29,1411.495458
4.773887,13,1419.502989
11.838307,29,1437.295105
5.090321,14,1446.074307
4.3334,11,1452.99102
6.927148,20,1465.920876
8.73289,22,1479.95792
11.070695,28,1497.26774
9.363471,24,1513.001087
5.012826,13,1521.782688
6.547773,17,1532.709391
12.111362,28,1550.598798
9.579366,22,1564.018636
8.00267,20,1577.187359
4.507863,11,1583.810655
8.066571,19,1595.351159
7.915429,20,1607.904122
5.654632,15,1617.28137
7.497263,19,1629.016728
16.294054,41,1652.975772
11.437964,26,1668.623044
9.788462,25,1683.957001
5.106265,13,1691.610876
15.854432,39,1713.722715
12.520711,33,1733.461786
10.784868,27,1751.289874
7.369122,16,1761.057109
9.597021,22,1774.367294
7.664193,18,1784.090111
5.473672,13,1792.254323
6.333559,15,1799.843362
7.439083,18,1810.52798
8.26767,24,1824.761829
14.00988,35,1846.72068
5.13616,13,1854.560584
5.381338,14,1862.325894
4.549202,11,1868.864446
5.535717,13,1876.147478
10.082668,26,1891.744122
9.350181,24,1906.073895
11.215562,30,1922.884094
9.418279,25,1938.417231
5.586694,14,1946.481325
8.223045,20,1957.979585
12.853504,32,1978.363275
13.473094,32,1997.090229
11.737576,30,2014.722901
9.077955,25,2031.966287
5.073882,15,2041.090981
9.310778,23,2055.563354
14.145601,32,2075.462384
4.951254,13,2083.360775
7.022395,18,2093.947336
6.53408,17,2104.247887
16.898099,38,2127.692316
14.896626,34,2148.615864
4.758436,13,2155.978154
8.012506,21,2169.419846
20.118061,47,2198.006929
8.548744,22,2211.561079
7.893029,20,2224.578555
5.788093,14,2234.030675
4.52162,13,2242.712086
4.627087,13,2251.201588
4.973371,12,2260.017098
6.781845,18,2271.231325
12.365581,32,2290.148896
5.343635,13,2298.135112
3.973798,10,2304.02964
9.763114,24,2317.927577
15.841122,41,2342.721381
6.173496,16,2353.130086
11.135676,27,2370.376475
14.232868,36,2393.902352
6.324957,15,2403.781603
7.006674,18,2414.604356
6.26119,14,2423.040025
9.098993,23,2436.916568
9.764367,24,2451.687844
3.575601,13,2459.914859
4.481563,14,2468.984032
3.477933,10,2475.252469
13.704742,34,2495.476539
7.177972,18,2507.203098
8.892203,23,2520.91565
14.177449,36,2542.880263
10.15785,26,2559.011179
5.907131,16,2568.871725
10.328101,26,2585.420043
7.526726,19,2596.335963
5.753843,16,2605.353435
15.373058,35,2625.880448
4.172563,13,2633.378402
5.850175,16,2643.124131
6.760258,17,2653.39619
13.216743,34,2673.98688
5.563342,17,2685.352302
11.498795,29,2702.978709
6.436343,17,2713.755815
7.389269,18,2724.20151
6.830254,19,2735.502406
4.068078,12,2742.653317
4.158867,11,2749.370806
6.822678,18,2760.466944
8.883167,22,2774.569198
5.098615,12,2782.034662
6.068871,15,2791.162393
9.353286,21,2803.487118
5.680442,17,2813.582932
7.979555,20,2825.697446
4.36986,12,2833.035479
